,ASX code,Company name,Security type,ISIN code,hashtags,cashtags
538,DTL,DATA#3 LIMITED,ORDINARY FULLY PAID,AU000000DTL4,#DTL,$DTL
539,DDT,DATADOT TECHNOLOGY,ORDINARY FULLY PAID,AU000000DDT1,#DDT,$DDT
540,DTR,DATELINE RESOURCES,ORDINARY FULLY PAID,AU000000DTR1,#DTR,$DTR
541,DC2,DCTWO,ORDINARY FULLY PAID,AU0000108367,#DC2,$DC2
542,DDH,DDH DRILL,ORDINARY FULLY PAID,AU0000134454,#DDH,$DDH
543,DEG,DE GREY MINING,ORDINARY FULLY PAID,AU000000DEG6,#DEG,$DEG
544,DEM,DE.MEM LTD,ORDINARY FULLY PAID,AU000000DEM4,#DEM,$DEM
545,DET,DEALT LIMITED,ORDINARY FULLY PAID,AU0000139289,#DET,$DET
546,DCG,DECMIL GROUP LIMITED,ORDINARY FULLY PAID,AU000000DCG0,#DCG,$DCG
547,DYL,DEEP YELLOW LIMITED,ORDINARY FULLY PAID,AU000000DYL4,#DYL,$DYL
548,DLC,DELECTA LIMITED,ORDINARY FULLY PAID,AU000000DLC0,#DLC,$DLC
549,DEL,DELOREAN CORPORATION,ORDINARY FULLY PAID,AU0000139974,#DEL,$DEL
550,DLT,DELTA DRONE INTL LTD,ORDINARY FULLY PAID,AU0000125627,#DLT,$DLT
551,DGH,DESANE GROUP HLDINGS,ORDINARY FULLY PAID,AU000000DGH9,#DGH,$DGH
552,DM1,DESERT METALS,ORDINARY FULLY PAID,AU0000118572,#DM1,$DM1
553,DMC,DESIGN MILK CO LTD,ORDINARY FULLY PAID,AU0000124919,#DMC,$DMC
554,DRR,DETERRA,ORDINARY FULLY PAID,AU0000107484,#DRR,$DRR
555,DVP,DEVELOP GLOBAL LTD,ORDINARY FULLY PAID,AU0000179707,#DVP,$DVP
556,DEV,DEVEX RESOURCES LTD,ORDINARY FULLY PAID,AU000000DEV5,#DEV,$DEV
557,DVN,DEVINE LIMITED,ORDINARY FULLY PAID,AU000000DVN6,#DVN,$DVN
558,DGL,DGL GROUP LIMITED,ORDINARY FULLY PAID,AU0000149338,#DGL,$DGL
559,DGO,DGO GOLD LIMITED,ORDINARY FULLY PAID,AU000000DGO5,#DGO,$DGO
560,DGR,DGR GLOBAL LTD,ORDINARY FULLY PAID,AU000000DGR8,#DGR,$DGR
561,DBO,DIABLORESOURCES,ORDINARY FULLY PAID,AU0000172009,#DBO,$DBO
562,DRX,DIATREME RESOURCES,ORDINARY FULLY PAID,AU000000DRX3,#DRX,$DRX
563,DDR,DICKER DATA LIMITED,ORDINARY FULLY PAID,AU000000DDR5,#DDR,$DDR
564,DW8,DIGITAL WINE VENTURE,ORDINARY FULLY PAID,AU000000DW82,#DW8,$DW8
565,DCC,DIGITALX LIMITED,ORDINARY FULLY PAID,AU000000DCC9,#DCC,$DCC
566,DXB,DIMERIX LTD,ORDINARY FULLY PAID,AU000000DXB7,#DXB,$DXB
567,DAF,DISCOVERY AFRICA LTD,ORDINARY FULLY PAID,AU000000DAF6,#DAF,$DAF
568,DCX,DISCOVEX RES LTD,ORDINARY FULLY PAID,AU0000081598,#DCX,$DCX
569,DUI,DIVERSIFIED UNITED,ORDINARY FULLY PAID,AU000000DUI8,#DUI,$DUI
570,DJW,DJERRIWARRH,ORDINARY FULLY PAID,AU000000DJW2,#DJW,$DJW
571,DMM,DMCMININGLIMITED,ORDINARY FULLY PAID,AU0000185860,#DMM,$DMM
572,DCL,DOMACOM LIMITED,ORDINARY FULLY PAID,AU000000DCL0,#DCL,$DCL
573,DHG,DOMAIN HOLDINGS AUS,ORDINARY FULLY PAID,AU000000DHG9,#DHG,$DHG
574,DME,DOME GOLD MINES LTD,ORDINARY FULLY PAID,AU000000DME4,#DME,$DME
575,DLM,DOMINION MINERALS,ORDINARY FULLY PAID,AU0000184202,#DLM,$DLM
576,DMP,DOMINO PIZZA ENTERPR,ORDINARY FULLY PAID,AU000000DMP0,#DMP,$DMP
577,DNA,DONACO INTERNATIONAL,ORDINARY FULLY PAID,AU000000DNA0,#DNA,$DNA
578,DVL,DORSAVI LTD,ORDINARY FULLY PAID,AU000000DVL0,#DVL,$DVL
579,DTZ,DOTZ NANO LTD,ORDINARY FULLY PAID,AU000000DTZ4,#DTZ,$DTZ
580,DOU,DOUUGH LIMITED,ORDINARY FULLY PAID,AU0000107294,#DOU,$DOU
581,DOW,DOWNER EDI LIMITED,ORDINARY FULLY PAID,AU000000DOW2,#DOW,$DOW
582,DRA,DRA GLOBAL LIMITED,ORDINARY FULLY PAID,AU0000155814,#DRA,$DRA
583,DMG,DRAGON MOUNTAIN GOLD,ORDINARY FULLY PAID,AU000000DMG9,#DMG,$DMG
584,DRF,DRAGONFLYBIOSCIENCES,ORDINARY FULLY PAID,AU0000178733,#DRF,$DRF
585,DTS,DRAGONTAIL SYSTEMS,ORDINARY FULLY PAID,AU000000DTS9,#DTS,$DTS
586,DRE,DREDNOUGHT RESOURCES,ORDINARY FULLY PAID,AU0000040297,#DRE,$DRE
587,DRO,DRONESHIELD LIMITED,ORDINARY FULLY PAID,AU000000DRO2,#DRO,$DRO
588,DSE,DROPSUITE LTD,ORDINARY FULLY PAID,AU000000DSE1,#DSE,$DSE
589,DTI,DTI GROUP LTD,ORDINARY FULLY PAID,AU000000DTI0,#DTI,$DTI
590,DUB,DUBBER CORP LTD,ORDINARY FULLY PAID,AU000000DUB3,#DUB,$DUB
591,DUG,DUG TECH,ORDINARY FULLY PAID,AU0000095721,#DUG,$DUG
592,DEX,DUKE EXPLORATION,ORDINARY FULLY PAID,AU0000107674,#DEX,$DEX
593,DKM,DUKETON MINING,ORDINARY FULLY PAID,AU000000DKM1,#DKM,$DKM
594,DUN,DUNDASMINERALS,ORDINARY FULLY PAID,AU0000178139,#DUN,$DUN
595,DUR,DURATEC,ORDINARY FULLY PAID,AU0000109159,#DUR,$DUR
596,DSK,DUSK GROUP,ORDINARY FULLY PAID,AU0000109662,#DSK,$DSK
597,DBF,DUXTON BROADACRE,ORDINARY FULLY PAID,AU000000DBF4,#DBF,$DBF
598,D2O,DUXTON WATER LTD,ORDINARY FULLY PAID,AU000000D2O3,#D2O,$D2O
599,DXN,DXN LIMITED,ORDINARY FULLY PAID,AU0000003386,#DXN,$DXN
600,DDB,DYNAMIC DRILL,ORDINARY FULLY PAID,AU0000095010,#DDB,$DDB
601,DMA,DYNASTY RESOURCES,ORDINARY FULLY PAID,AU000000DMA2,#DMA,$DMA
602,EP1,E&P FINANCIAL GROUP,ORDINARY FULLY PAID,AU0000117343,#EP1,$EP1
603,E2M,E2 METALS,ORDINARY FULLY PAID,AU000000E2M6,#E2M,$E2M
604,E79,E79GOLDMINESLIMITED,ORDINARY FULLY PAID,AU0000171415,#E79,$E79
605,APE,EAGERS AUTOMOTIVE,ORDINARY FULLY PAID,AU000000APE3,#APE,$APE
606,EM2,EAGLE MOUNTAIN,ORDINARY FULLY PAID,AU0000000366,#EM2,$EM2
607,EPY,EARLYPAY LTD,ORDINARY FULLY PAID,AU0000119570,#EPY,$EPY
608,E33,EAST 33 LIMITED..,ORDINARY FULLY PAID,AU0000168130,#E33,$E33
609,EER,EAST ENERGY RESOURCE,ORDINARY FULLY PAID,AU000000EER1,#EER,$EER
610,EFE,EASTERN IRON,ORDINARY FULLY PAID,AU000000EFE6,#EFE,$EFE
611,EMS,EASTERN METALS,ORDINARY FULLY PAID,AU0000173304,#EMS,$EMS
612,EAS,EASTON INVESTMENTS,ORDINARY FULLY PAID,AU000000EAS7,#EAS,$EAS
613,EBO,EBOS GROUP LTD,ORDINARY FULLY PAID,NZEBOE0001S6,#EBO,$EBO
614,EPM,ECLIPSE METALS,ORDINARY FULLY PAID,AU000000EPM8,#EPM,$EPM
615,ECX,ECLIPX GROUP LTD,ORDINARY FULLY PAID,AU000000ECX3,#ECX,$ECX
616,EOF,ECOFIBRE LIMITED,ORDINARY FULLY PAID,AU0000040057,#EOF,$EOF
617,EGR,ECOGRAF LIMITED,ORDINARY FULLY PAID,AU0000071482,#EGR,$EGR
618,ECP,ECP EMERGING GROWTH,ORDINARY FULLY PAID,AU0000067514,#ECP,$ECP
619,ECS,ECS BOTANICS HOLDING,ORDINARY FULLY PAID,AU0000052490,#ECS,$ECS
620,EDE,EDEN INV LTD,ORDINARY FULLY PAID,AU000000EDE1,#EDE,$EDE
621,ELD,ELDERS LIMITED,ORDINARY FULLY PAID,AU000000ELD6,#ELD,$ELD
622,EOS,ELECTRO OPTIC SYS.,ORDINARY FULLY PAID,AU000000EOS8,#EOS,$EOS
623,E25,ELEMENT 25 LTD,ORDINARY FULLY PAID,AU0000012098,#E25,$E25
624,ELT,ELEMENTOS LIMITED,ORDINARY FULLY PAID,AU000000ELT2,#ELT,$ELT
625,EL8,ELEVATE URANIUM LTD,ORDINARY FULLY PAID,AU0000156416,#EL8,$EL8
626,EXL,ELIXINOL WELLNESS,ORDINARY FULLY PAID,AU000000EXL4,#EXL,$EXL
627,EXR,ELIXIR ENERGY LTD,ORDINARY FULLY PAID,AU000000EXR1,#EXR,$EXR
628,EAI,ELLERSTON ASIAN,ORDINARY FULLY PAID,AU000000EAI8,#EAI,$EAI
629,ELO,ELMO SOFTWARE,ORDINARY FULLY PAID,AU000000ELO3,#ELO,$ELO
630,ELE,ELMORE LTD,ORDINARY FULLY PAID,AU0000052284,#ELE,$ELE
631,ELS,ELSIGHT LTD,ORDINARY FULLY PAID,AU000000ELS4,#ELS,$ELS
632,EMB,EMBELTON LIMITED,ORDINARY FULLY PAID,AU000000EMB8,#EMB,$EMB
633,EHL,EMECO HOLDINGS,ORDINARY FULLY PAID,AU000000EHL7,#EHL,$EHL
634,EMR,EMERALD RES NL,ORDINARY FULLY PAID,AU000000EMR4,#EMR,$EMR
635,EM1,EMERGE GAMING LTD,ORDINARY FULLY PAID,AU0000007866,#EM1,$EM1
636,EMT,EMETALS LIMITED,ORDINARY FULLY PAID,AU0000076200,#EMT,$EMT
637,EML,EML PAYMENTS LTD,ORDINARY FULLY PAID,AU000000EML7,#EML,$EML
638,ERM,EMMERSON RESOURCES,ORDINARY FULLY PAID,AU000000ERM4,#ERM,$ERM
639,EMP,EMPEROR ENERGY LTD,ORDINARY FULLY PAID,AU000000EMP8,#EMP,$EMP
640,EEG,EMPIRE ENERGY LTD,ORDINARY FULLY PAID,AU000000EEG4,#EEG,$EEG
641,ERL,EMPIRE RESOURCES,ORDINARY FULLY PAID,AU000000ERL6,#ERL,$ERL
642,EPD,EMPIRED LTD,ORDINARY FULLY PAID,AU000000EPD7,#EPD,$EPD
643,EMU,EMU NL,ORDINARY FULLY PAID,AU000000EMU8,#EMU,$EMU
644,EMV,EMVISION MEDICAL,ORDINARY FULLY PAID,AU0000028375,#EMV,$EMV
645,EMD,EMYRIA LIMITED,ORDINARY FULLY PAID,AU0000073645,#EMD,$EMD
646,ENR,ENCOUNTER RESOURCES,ORDINARY FULLY PAID,AU000000ENR2,#ENR,$ENR
647,EDV,ENDEAVOUR,ORDINARY FULLY PAID,AU0000154833,#EDV,$EDV
648,ERG,ENECO REFRESH LTD,ORDINARY FULLY PAID,AU0000041881,#ERG,$ERG
649,ENX,ENEGEX LIMITED,ORDINARY FULLY PAID,AU000000ENX0,#ENX,$ENX
650,EAX,ENERGY ACTION LTD,ORDINARY FULLY PAID,AU000000EAX7,#EAX,$EAX
651,EME,ENERGY METALS LTD,ORDINARY FULLY PAID,AU000000EME2,#EME,$EME
652,EOL,ENERGY ONE LIMITED,ORDINARY FULLY PAID,AU000000EOL3,#EOL,$EOL
653,EGY,ENERGY TECH LTD,ORDINARY FULLY PAID,AU000000EGY2,#EGY,$EGY
654,EWC,ENERGY WORLD CORPOR.,ORDINARY FULLY PAID,AU000000EWC5,#EWC,$EWC
655,EGG,ENERO GROUP LTD,ORDINARY FULLY PAID,AU000000EGG9,#EGG,$EGG
656,EN1,ENGAGE:BDR LIMITED,ORDINARY FULLY PAID,AU000000EN17,#EN1,$EN1
657,EGN,ENGENCO LIMITED,ORDINARY FULLY PAID,AU000000EGN5,#EGN,$EGN
658,EXO,ENNOX GROUP LTD,ORDINARY FULLY PAID,AU000000EXO8,#EXO,$EXO
659,ENV,ENOVA MINING LIMITED,ORDINARY FULLY PAID,AU0000089351,#ENV,$ENV
660,ENA,ENSURANCE LTD,ORDINARY FULLY PAID,AU000000ENA8,#ENA,$ENA
661,ENT,ENTERPRISE METALS,ORDINARY FULLY PAID,AU000000ENT8,#ENT,$ENT
662,ECT,ENV CLEAN TECH LTD.,ORDINARY FULLY PAID,AU0000018137,#ECT,$ECT
663,EGL,ENVIRONMENTAL GROUP,ORDINARY FULLY PAID,AU000000EGL9,#EGL,$EGL
664,EVS,ENVIROSUITE LTD,ORDINARY FULLY PAID,AU000000EVS3,#EVS,$EVS
665,E2E,EON NRG LTD,ORDINARY FULLY PAID,AU0000001158,#E2E,$E2E
666,EPN,EPSILON HEALTHCARE,ORDINARY FULLY PAID,AU0000137598,#EPN,$EPN
667,EPX,EPT GLOBAL LIMITED,ORDINARY FULLY PAID,AU0000141525,#EPX,$EPX
668,EQR,EQ RESOURCES LIMITED,ORDINARY FULLY PAID,AU0000122749,#EQR,$EQR
669,EQX,EQUATORIAL RES LTD,ORDINARY FULLY PAID,AU000000EQX3,#EQX,$EQX
670,EQN,EQUINOXRESOURCES,ORDINARY FULLY PAID,AU0000173965,#EQN,$EQN
671,EQT,EQUITY HL,ORDINARY FULLY PAID,AU000000EQT1,#EQT,$EQT
672,EQE,EQUUS MINING LTD,ORDINARY FULLY PAID,AU000000EQE3,#EQE,$EQE
673,ERW,ERRAWARRA RESOURCES,ORDINARY FULLY PAID,AU0000119117,#ERW,$ERW
674,ESH,ESPORTS MOGUL LTD,ORDINARY FULLY PAID,AU000000ESH2,#ESH,$ESH
675,ESS,ESSENTIAL METALS LTD,ORDINARY FULLY PAID,AU0000096943,#ESS,$ESS
676,EHE,ESTIA HEALTH LTD,ORDINARY FULLY PAID,AU000000EHE2,#EHE,$EHE
677,ESR,ESTRELLA RES LTD,ORDINARY FULLY PAID,AU000000ESR1,#ESR,$ESR
678,GOLAI,ETFS METALS.,ORDINARY FULLY PAID,AU0000GOLAI9,#GOLAI,$GOLAI
679,EBG,EUMUNDI GROUP LTD,ORDINARY FULLY PAID,AU000000EBG0,#EBG,$EBG
680,EGH,EUREKA GROUP LTD,ORDINARY FULLY PAID,AU000000EGH7,#EGH,$EGH
681,EUR,EUROPEAN LITHIUM LTD,ORDINARY FULLY PAID,AU000000EUR7,#EUR,$EUR
682,EZL,EUROZ LIMITED,ORDINARY FULLY PAID,AU000000EZL9,#EZL,$EZL
683,EVE,EVE INVESTMENTS LTD,ORDINARY FULLY PAID,AU000000EVE3,#EVE,$EVE
684,EVT,EVENT HOSPITALITY,ORDINARY FULLY PAID,AU000000EVT1,#EVT,$EVT
685,EVN,EVOLUTION MINING LTD,ORDINARY FULLY PAID,AU000000EVN4,#EVN,$EVN
686,EV1,EVOLUTIONENERGY,ORDINARY FULLY PAID,AU0000180200,#EV1,$EV1
687,EVZ,EVZ LIMITED,ORDINARY FULLY PAID,AU000000EVZ8,#EVZ,$EVZ
688,ECL,EXCELSIOR CAPITAL,ORDINARY FULLY PAID,AU0000037889,#ECL,$ECL
689,EX1,EXOPHARM LIMITED,ORDINARY FULLY PAID,AU0000030975,#EX1,$EX1
690,EXP,EXPERIENCE CO LTD,ORDINARY FULLY PAID,AU000000EXP5,#EXP,$EXP
691,EZZ,EZZ LIFE SCIENCE,ORDINARY FULLY PAID,AU0000130569,#EZZ,$EZZ
692,FFI,F.F.I. HOLDINGS,ORDINARY FULLY PAID,AU000000FFI4,#FFI,$FFI
693,FZO,FAMILY ZONE CYBER,ORDINARY FULLY PAID,AU000000FZO0,#FZO,$FZO
694,FAR,FAR LTD,ORDINARY FULLY PAID,AU000000FAR6,#FAR,$FAR
695,FGO,FARGO ENTERPRISES,ORDINARY FULLY PAID,AU000000FGO0,#FGO,$FGO
696,FRM,FARM PRIDE FOODS,ORDINARY FULLY PAID,AU000000FRM1,#FRM,$FRM
697,FFC,FARMAFORCE LTD,ORDINARY FULLY PAID,AU000000FFC7,#FFC,$FFC
698,FE8,FASTER ENTERPRISES,ORDINARY FULLY PAID,AU000000FE82,#FE8,$FE8
699,FPC,FAT PROPHETS GBL LTD,ORDINARY FULLY PAID,AU000000FPC6,#FPC,$FPC
700,FFG,FATFISH GROUP,ORDINARY FULLY PAID,AU000000FFG8,#FFG,$FFG
701,FBR,FBR LTD,ORDINARY FULLY PAID,AU000000FBR4,#FBR,$FBR
702,FEI,FE INV GROUP LTD,ORDINARY FULLY PAID,AU000000FEI7,#FEI,$FEI
703,FEL,FE LIMITED,ORDINARY FULLY PAID,AU000000FEL1,#FEL,$FEL
704,FLX,FELIX GROUP,ORDINARY FULLY PAID,AU0000123879,#FLX,$FLX
705,FEX,FENIX RESOURCES LTD,ORDINARY FULLY PAID,AU0000025132,#FEX,$FEX
706,FTZ,FERTOZ LTD,ORDINARY FULLY PAID,AU000000FTZ9,#FTZ,$FTZ
707,FID,FIDUCIAN GROUP LTD,ORDINARY FULLY PAID,AU000000FID9,#FID,$FID
708,FSG,FIELD SOLU HLDGS LTD,ORDINARY FULLY PAID,AU000000FSG1,#FSG,$FSG
709,FIJ,FIJI KAVA LIMITED,ORDINARY FULLY PAID,AU0000028359,#FIJ,$FIJ
710,FIN,FIN RESOURCES LTD,ORDINARY FULLY PAID,AU0000009425,#FIN,$FIN
711,FRI,FINBAR GROUP LIMITED,ORDINARY FULLY PAID,AU000000FRI9,#FRI,$FRI
712,FND,FINDERS RESOURCES,ORDINARY FULLY PAID,AU000000FND9,#FND,$FND
713,FNX,FINEXIA FINANCIALGRP,ORDINARY FULLY PAID,AU0000107088,#FNX,$FNX
714,FTCAA,FINTECH CHAIN LTD,ORDINARY FULLY PAID,AU0000008807,#FTCAA,$FTCAA
715,FRB,FIREBIRD METALS,ORDINARY FULLY PAID,AU0000134694,#FRB,$FRB
716,FFX,FIREFINCH LTD,ORDINARY FULLY PAID,AU0000114522,#FFX,$FFX
717,FFR,FIREFLY RESOURCES,ORDINARY FULLY PAID,AU0000069783,#FFR,$FFR
718,FAU,FIRST AU LTD,ORDINARY FULLY PAID,AU0000015414,#FAU,$FAU
719,FGR,FIRST GRAPHENE LTD,ORDINARY FULLY PAID,AU000000FGR3,#FGR,$FGR
720,FCT,FIRSTWAVE CLOUD TECH,ORDINARY FULLY PAID,AU000000FCT8,#FCT,$FCT
721,FZR,FITZROY RIVER CORP,ORDINARY FULLY PAID,AU000000FZR3,#FZR,$FZR
722,FSI,FLAGSHIP INVESTMENTS,ORDINARY FULLY PAID,AU000000FSI7,#FSI,$FSI
723,FWD,FLEETWOOD LTD,ORDINARY FULLY PAID,AU000000FWD0,#FWD,$FWD
724,FRX,FLEXIROAM LIMITED,ORDINARY FULLY PAID,AU000000FRX8,#FRX,$FRX
725,FLT,FLIGHT CENTRE TRAVEL,ORDINARY FULLY PAID,AU000000FLT9,#FLT,$FLT
726,FMS,FLINDERS MINES LTD,ORDINARY FULLY PAID,AU000000FMS9,#FMS,$FMS
727,FLC,FLUENCE CORPORATION,ORDINARY FULLY PAID,AU000000FLC5,#FLC,$FLC
728,FG1,FLYNNGOLD,ORDINARY FULLY PAID,AU0000143695,#FG1,$FG1
729,FML,FOCUS MINERALS LTD,ORDINARY FULLY PAID,AU000000FML4,#FML,$FML
730,FFF,FORBIDDEN FOODS,ORDINARY FULLY PAID,AU0000097339,#FFF,$FFF
731,FRS,FORRESTANIARESOURCES,ORDINARY FULLY PAID,AU0000171621,#FRS,$FRS
732,FMG,FORTESCUE METALS GRP,ORDINARY FULLY PAID,AU000000FMG4,#FMG,$FMG
733,FOS,FOS CAPITAL LTD,ORDINARY FULLY PAID,AU0000149312,#FOS,$FOS
734,FNP,FREEDOM FOOD LTD,ORDINARY FULLY PAID,AU000000FNP3,#FNP,$FNP
735,FDM,FREEDOM OIL GAS,ORDINARY FULLY PAID,AU000000FDM1,#FDM,$FDM
736,FHS,FREEHILL MINING LTD.,ORDINARY FULLY PAID,AU000000FHS9,#FHS,$FHS
737,FLN,FREELANCER LTD,ORDINARY FULLY PAID,AU000000FLN2,#FLN,$FLN
738,FLNAI,FREELANCER LTD,ORDINARY FULLY PAID,AU0000FLNAI3,#FLNAI,$FLNAI
739,FDV,FRONTIER DIGITAL LTD,ORDINARY FULLY PAID,AU000000FDV2,#FDV,$FDV
740,FNT,FRONTIER RESOURCES,ORDINARY FULLY PAID,AU000000FNT5,#FNT,$FNT
741,FGL,FRUGL GROUP LIMITED,ORDINARY FULLY PAID,AU0000094161,#FGL,$FGL
742,FSA,FSA GROUP LIMITED,ORDINARY FULLY PAID,AU000000FSA4,#FSA,$FSA
743,FFT,FUTURE FIRST TECH,ORDINARY FULLY PAID,AU0000113235,#FFT,$FFT
744,FGX,FUTURE GEN LTD,ORDINARY FULLY PAID,AU000000FGX1,#FGX,$FGX
745,FGG,FUTURE GLB INVEST CO,ORDINARY FULLY PAID,AU000000FGG6,#FGG,$FGG
746,FME,FUTURE METALS NL,ORDINARY FULLY PAID,AU0000157745,#FME,$FME
747,FYI,FYI RESOURCES LTD,ORDINARY FULLY PAID,AU000000FYI5,#FYI,$FYI
748,GUD,G.U.D. HOLDINGS,ORDINARY FULLY PAID,AU000000GUD2,#GUD,$GUD
749,GEM,G8 EDUCATION LIMITED,ORDINARY FULLY PAID,AU000000GEM7,#GEM,$GEM
750,GLN,GALAN LITHIUM LTD,ORDINARY FULLY PAID,AU0000021461,#GLN,$GLN
751,GXY,GALAXY RESOURCES,ORDINARY FULLY PAID,AU000000GXY2,#GXY,$GXY
752,GAP,GALE PACIFIC LIMITED,ORDINARY FULLY PAID,AU000000GAP8,#GAP,$GAP
753,G1A,GALENA MINING,ORDINARY FULLY PAID,AU000000G1A1,#G1A,$G1A
754,GLL,GALILEE ENERGY LTD,ORDINARY FULLY PAID,AU000000GLL4,#GLL,$GLL
755,GAL,GALILEO MINING LTD,ORDINARY FULLY PAID,AU0000007510,#GAL,$GAL
756,GGX,GAS2GRID LIMITED,ORDINARY FULLY PAID,AU000000GGX9,#GGX,$GGX
757,GGXAM,GAS2GRID LIMITED,ORDINARY FULLY PAID,AU0000GGXAM2,#GGXAM,$GGXAM
758,GCY,GASCOYNE RES LTD,ORDINARY FULLY PAID,AU000000GCY6,#GCY,$GCY
759,GML,GATEWAY MINING,ORDINARY FULLY PAID,AU000000GML2,#GML,$GML
760,GBZ,GBM RSOURCES LTD,ORDINARY FULLY PAID,AU000000GBZ5,#GBZ,$GBZ
761,GFN,GEFEN INT,ORDINARY FULLY PAID,IL0011756371,#GFN,$GFN
762,GDG,GENERATION DEV GROUP,ORDINARY FULLY PAID,AU0000005126,#GDG,$GDG
763,GMD,GENESIS MINERALS,ORDINARY FULLY PAID,AU000000GMD9,#GMD,$GMD
764,GES,GENESIS RESOURCES,ORDINARY FULLY PAID,AU000000GES4,#GES,$GES
765,GSS,GENETIC SIGNATURES,ORDINARY FULLY PAID,AU000000GSS4,#GSS,$GSS
766,GTG,GENETIC TECHNOLOGIES,ORDINARY FULLY PAID,AU000000GTG7,#GTG,$GTG
767,GNX,GENEX POWER LTD,ORDINARY FULLY PAID,AU000000GNX5,#GNX,$GNX
768,GEN,GENMIN,ORDINARY FULLY PAID,AU0000136590,#GEN,$GEN
769,GNP,GENUSPLUS GROUP LTD,ORDINARY FULLY PAID,AU0000117160,#GNP,$GNP
770,GMA,GENWORTH MORTGAGE,ORDINARY FULLY PAID,AU000000GMA5,#GMA,$GMA
771,GPR,GEOPACIFIC RESOURCES,ORDINARY FULLY PAID,AU000000GPR2,#GPR,$GPR
772,GIB,GIBB RIVER DIAMONDS,ORDINARY FULLY PAID,AU0000031411,#GIB,$GIB
773,GLA,GLADIATOR RESOURCES,ORDINARY FULLY PAID,AU000000GLA7,#GLA,$GLA
774,GC1,GLENNON SML CO LTD,ORDINARY FULLY PAID,AU000000GC18,#GC1,$GC1
775,GLE,GLG CORP LTD,ORDINARY FULLY PAID,AU000000GLE9,#GLE,$GLE
776,GEV,GLOBAL ENE VEN LTD,ORDINARY FULLY PAID,AU000000GEV8,#GEV,$GEV
777,GLH,GLOBAL HEALTH LTD,ORDINARY FULLY PAID,AU000000GLH2,#GLH,$GLH
778,GFL,GLOBAL MASTERS FUND,ORDINARY FULLY PAID,AU000000GFL6,#GFL,$GFL
779,GLV,GLOBAL OIL & GAS,ORDINARY FULLY PAID,AU0000034860,#GLV,$GLV
780,GVF,GLOBAL VALUE FND LTD,ORDINARY FULLY PAID,AU000000GVF5,#GVF,$GVF
781,GL1,GLOBALLITH,ORDINARY FULLY PAID,AU0000142929,#GL1,$GL1
782,GLB,GLOBE INTERNATIONAL,ORDINARY FULLY PAID,AU000000GLB5,#GLB,$GLB
783,GBE,GLOBE METALS &MINING,ORDINARY FULLY PAID,AU000000GBE0,#GBE,$GBE
784,GME,GME RESOURCES LTD,ORDINARY FULLY PAID,AU000000GME7,#GME,$GME
785,GRL,GODOLPHIN RESOURCES,ORDINARY FULLY PAID,AU0000065195,#GRL,$GRL
786,GMN,GOLD MOUNTAIN LTD,ORDINARY FULLY PAID,AU000000GMN8,#GMN,$GMN
787,GOR,GOLD ROAD RES LTD,ORDINARY FULLY PAID,AU000000GOR5,#GOR,$GOR
788,G50,GOLD50LIMITED,ORDINARY FULLY PAID,AU0000155889,#G50,$G50
789,GCR,GOLDEN CROSS,ORDINARY FULLY PAID,AU000000GCR0,#GCR,$GCR
790,GED,GOLDEN DEEPS,ORDINARY FULLY PAID,AU000000GED6,#GED,$GED
791,G88,GOLDEN MILE RES LTD,ORDINARY FULLY PAID,AU000000G887,#G88,$G88
792,GMR,GOLDEN RIM RESOURCES,ORDINARY FULLY PAID,AU000000GMR9,#GMR,$GMR
793,GSM,GOLDEN STATE MINING,ORDINARY FULLY PAID,AU0000023574,#GSM,$GSM
794,G79,GOLDOZ LIMITED,ORDINARY FULLY PAID,AU0000174583,#G79,$G79
795,GDA,GOOD DRINKS AUS LTD,ORDINARY FULLY PAID,AU0000120040,#GDA,$GDA
796,GOW,GOWING BROS. LIMITED,ORDINARY FULLY PAID,AU000000GOW5,#GOW,$GOW
797,GPS,GPS ALLIANCE LTD,ORDINARY FULLY PAID,AU000000GPS0,#GPS,$GPS
798,GNG,GR ENGINEERING LTD,ORDINARY FULLY PAID,AU000000GNG0,#GNG,$GNG
799,GGE,GRAND GULF ENERGY,ORDINARY FULLY PAID,AU000000GGE9,#GGE,$GGE
800,GRR,GRANGE RESOURCES.,ORDINARY FULLY PAID,AU000000GRR8,#GRR,$GRR
801,GTI,GRATIFII,ORDINARY FULLY PAID,AU0000152183,#GTI,$GTI
802,GNM,GREAT NORTHERN,ORDINARY FULLY PAID,AU0000067092,#GNM,$GNM
803,GSN,GREAT SOUTHERN,ORDINARY FULLY PAID,AU0000017543,#GSN,$GSN
804,GTE,GREAT WESTERN EXP.,ORDINARY FULLY PAID,AU000000GTE2,#GTE,$GTE
805,GBR,GREATBOULD RESOURCES,ORDINARY FULLY PAID,AU000000GBR2,#GBR,$GBR
806,GXL,GREENCROSS LIMITED,ORDINARY FULLY PAID,AU000000GXL9,#GXL,$GXL
807,GGG,GREENLAND MINERALS,ORDINARY FULLY PAID,AU000000GGG4,#GGG,$GGG
808,GSR,GREENSTONE RESOURCES,ORDINARY FULLY PAID,AU0000184954,#GSR,$GSR
809,GT1,GREENTECHNOLOGY,ORDINARY FULLY PAID,AU0000177271,#GT1,$GT1
810,GRV,GREENVALE MINING LTD,ORDINARY FULLY PAID,AU000000GRV0,#GRV,$GRV
